time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-20 00:00:00+00:00,47,14,145,2
2022-12-21 00:00:00+00:00,32,11,79,1
2022-12-22 00:00:00+00:00,23,9,69,1
2022-12-23 00:00:00+00:00,16,7,94,1
2022-12-24 00:00:00+00:00,46,11,131,2
2022-12-25 00:00:00+00:00,38,10,156,2
2022-12-26 00:00:00+00:00,22,7,58,1
2022-12-27 00:00:00+00:00,42,12,146,1
2022-12-28 00:00:00+00:00,21,8,123,2
2022-12-29 00:00:00+00:00,13,6,49,2
2022-12-30 00:00:00+00:00,5,3,43,1
2022-12-31 00:00:00+00:00,12,6,75,2
2023-01-01 00:00:00+00:00,11,6,86,8
2023-01-02 00:00:00+00:00,59,13,125,6
2023-01-03 00:00:00+00:00,7,4,23,2
